"subgenre-name","subgenre-url"
"Alternative/Indie Rock","/subgenre/alternative-indie-rock-ma0000012230"
"Jazz Instrument","/subgenre/jazz-instrument-ma0000002947"
"Punk/New Wave","/subgenre/punk-new-wave-ma0000011872"
"Heavy Metal","/subgenre/heavy-metal-ma0000002721"
"Techno","/subgenre/techno-ma0000002893"
"Soul","/subgenre/soul-ma0000002865"
"Cuban Traditions","/subgenre/cuban-traditions-ma0000002540"
"Western European Traditions","/subgenre/western-european-traditions-ma0000004467"
"Jungle/Drum'n'Bass","/subgenre/jungle-drumnbass-ma0000002557"
"Experimental Electronic","/subgenre/experimental-electronic-ma0000012210"
"Singer/Songwriter","/subgenre/singer-songwriter-ma0000002855"
"Downtempo","/subgenre/downtempo-ma0000004999"
"Alternative Rap","/subgenre/alternative-rap-ma0000012203"
